DE NIEUWE LIJST,categorie,reden,notitie,,,
TAKEN,,,1e stap,,,
Rookmelders testen,belangrijk,veiligheid in huis,batterijen controleren en vervangen,,,
Cv-ketel waterdruk bijvullen,belangrijk,,handleiding erbij pakken,,,
Reservesleutel bij de buren brengen,belangrijk,,,,,
Lekkende keukenkraan repareren,urgent,water blijft druppelen,rubbertje kopen bij de bouwmarkt,,,
Kapotte lamp in de gang vervangen,urgent,,nieuwe peertjes zijn er nog,,,
Verstopte afvoer badkamer ontstoppen,urgent,,,,,
Voorraadkast opruimen en ordenen,klein,,over de datum spullen weggooien,,,
Planten water geven,klein,,elke zondag,,,
Ramen lappen aan de voorkant,klein,,,,,
Nieuwe kamerplant kopen voor de woonkamer,fijn,maakt de kamer gezelliger,,,,
Fotolijstjes ophangen in de hal,fijn,,eerst uitmeten waar ze komen,,,
Bureaustoel opnieuw afstellen,fijn,,,,,
NIEUW kandidaten,,,,,,
